rowIDs,year,source,authors,title,n.citations,ECC
4428,1989,"Plants under stress: biochemistry, physiology, and â€¦",RB Austin,13 Prospects for improving crop production in stressful environments,36,36
4429,1989,Current mammalogy,"RP Coppinger, CK Smith",A model for understanding the evolution of mammalian behavior,49,49
4430,1989,Behavioral and Brain â€¦,"LR Caporael, RM Dawes, JM Orbellâ€¦",Selfishness examined: Cooperation in the absence of egoistic incentives,687,687
4431,1989,Behaviour,J Lamprecht,Distance regulation of hand-reared goslings (Anser indicus) to an unresponsive parent: a study of the short-term dynamics of attachment,3,3
4432,1989,NA,"SR Morton, TP FLETCHER",Fauna of Australia,4,4
4433,1989,NA,"IR Swingland, MW Klemens",The conservation biology of tortoises,71,71
4434,1989,NA,EM RUSSELL,Fauna of Australia,1,1
4435,1989,"Ojai, CA: Times Change",G Bradford,How deep is deep ecology,84,84
4436,1989,NA,AG Duthie,Ecology of the Riverine Rabbit Bunolagus monticularis,13,13
4437,1989,Laboratory Primate Newsletter,"S Ranheim, V Reinhardt",Compatible rhesus monkeys provide long-term stimulation for each other,12,12
4438,1989,NA,J Blyth,r4f4',0,0
4439,1989,Behavioral and Brain Sciences,BM Knauft,Sociality versus self-interest in human evolution,16,16
4440,1989,Behavioral and Brain Sciences,SC Stearns,Demonstrating unselfishness: They haven't done it yet,2,2
4441,1989,NA,T Grandin,Dendritic growth in somatosensory region of brain cortex in pigs residing in a simple or a complex environment,2,2
4442,1989,Laboratory Primate Newsletter,"R Vertein, V Reinhardt",Training female rhesus monkeys to cooperate during in-homecage venipuncture,48,48
4443,1989,NA,JR Cardwell,"Behavioural endocrinology of the stoplight parrotfish, Sparisoma viride, Scaridae, a protogynous coral reef fish",12,12
4444,1989,NA,"RD Appleman, JK Reneau","Dairy Update: Milking Management, Milk Quality, and Mastitis Control, Issue 96",0,0
4445,1989,Polar Research,"J Madsen, T Bregnballe, F Mehlum",Study of the breeding ecology and behaviour of the Svalbard population of light-bellied brent goose Branta bernicla hrota,65,65
4446,1989,NA,GM Clayton,lchthyophthiriasis in fish: genetic variation in resistance to infection,3,3
4447,1989,NA,T Williams,"Sex ratio strategies in the facultatively autoparasitic wasp, Encarsia tricolor Forster",4,4
4448,1990,Animal Behaviour,O Katano,"Dynamic relationships between the dominance of male dark chub, Zacco temmincki, and their acquisition of females",58,58
4449,1990,Pharmacology Biochemistry and Behavior,"SP Martin, EO Smith, LD Byrd",Effects of dominance rank on d-amphetamine-induced increases in aggression,19,19
4450,1990,Pharmacology Biochemistry and Behavior,"SP Martin, EO Smith, LD Byrd",Effects of dominance rank on d-amphetamine-induced increases in aggression,19,19
4451,1990,Child development,"MJ Boulton, PK Smith",Affective bias in children's perceptions of dominance relationships,71,71
4452,1990,Animal Behaviour,"AT Rutberg, SA Greenberg","Dominance, aggression frequencies and modes of aggressive competition in feral pony mares",119,119
4453,1990,The Wilson Bulletin,"MS Ficken, CM Weise, JW Popp",Dominance rank and resource access in winter flocks of black-capped chickadees,99,99
4454,1990,Canadian Journal of Zoology,A Hirotani,"Social organization of reindeer (Rangifer tarandus), with special reference to relationships among females",54,54
4455,1990,Human Development,"PK Smith, M Boulton","Rough-and-tumble play, aggression and dominance: Perception and behaviour in children's encounters",226,226
4456,1990,Parasite communities: patterns and processes,A Kuris,"Guild structure of larval trematodes in molluscan hosts: prevalence, dominance and significance of competition",157,157
4457,1990,Animal Behaviour,"BJ Ens, P Esselink, L Zwarts","Kleptoparasitism as a problem of prey choice: a study on mudflat-feeding curlews, Numenius arquata",77,77
4458,1990,Animal Behaviour,PM Kappeler,Social status and scent-marking behaviour in Lemur catta,73,73
4459,1990,Developmental â€¦,"GS Pettit, A Bakshi, KA Dodgeâ€¦",The emergence of social dominance in young boys' play groups: Developmental differences and behavior correlates.,118,118
4460,1990,Belgian journal of zoology,"S ANDRIES, MHJ NELISSEN","A study of the dominance hierarchy in four Mbuna-species: Melanochromis johanni, M. auratus, Pseudotropheus Ornatus and P. lombardoi (Teleostei â€¦",16,16
4461,1990,Z Saugetierkunde,"ME Albonetti, F Dessi-Fulgheri",Female-female mounting in the European rabbit,13,13
4462,1990,NA,"P Nair, P Bose, R Gadagkar",The determinants of dominance in a primitively eusocial wasp,1,1
4463,1990,Animal Behaviour,AJ Moore,"The inheritance of social dominance, mating behaviour and attractiveness to mates in male Nauphoeta cinerea",112,112
4464,1990,Behavioral ecology and sociobiology,"J Heinze, TA Smith",Dominance and fertility in a functionally monogynous ant,92,92
4465,1990,Acta Theriologica Sinica,"XUHK Kumari, JS Lwanga",A STUDY OF DOMINANCE HIERARCHY IN A FEMALE HERD OF BURMESE ELD'S DEER (CERVUS ELDl THAMIN),0,0
4466,1990,Ethology,"N Masataka, T Ishida, J Suzuki, S Matsumuraâ€¦",Dominance and Immunity in Chimpanzees (Pan troglodytes),23,23
4467,1990,Animal Behaviour,"DA Cristol, V Nolan Jr, ED Ketterson","Effect of prior residence on dominance status of dark-eyed juncos, Junco hyemalis",75,75
4468,1990,Journal of Mathematical Sociology,JM Roberts Jr,Modeling hierarchy: transitivity and the linear ordering problem,18,18
4469,1990,Psychological Bulletin,JT Townsend,Truth and consequences of ordinal differences in statistical distributions: Toward a theory of hierarchical inference.,164,164
4470,1990,The Trumpeter,J Livingston,The Rigged Shell Game of Domination Hierarchy,0,0
4471,1990,NA,SE Tardiff,Female Dominance among Rocky Mountain Bighorn Sheep (Ovis canadensis canadensis),0,0
4472,1990,NA,D Pemberton,"Social organisation and behaviour of the Tasmanian devil, Sarcophilus harrisii",89,89
4473,1990,International Journal of Primatology,T Oi,Patterns of dominance and affiliation in wild pig-tailed macaques (Macaca nemestrina nemestrina) in West Sumatra,42,42
4474,1990,HERPETOL. J.,C Drews,Dominance or territoriality? The colonisation of temporary lagoons by Caiman crocodilus L.(Crocodylia).,11,11
4475,1990,Behavioral Ecology and Sociobiology,"WJ Hamilton, JB Bulger",Natal male baboon rank rises and successful challenges to resident alpha males,87,87
4476,1990,Animal Behaviour,RH Wiley,"Prior-residence and coat-tail effects in dominance relationships of male dark-eyed juncos, Junco hyemalis",46,46
4477,1990,Environmental Biology of Fishes,RM Ross,The evolution of sex-change mechanisms in fishes,198,198
4478,1990,Scientific American,RM Sapolsky,Stress in the wild,353,353
4479,1990,Weed Technology,"JA Koscelny, TF Peeper, JB Solie, SG Solomon Jr","Effect of wheat (Triticum aestivum) row spacing, seeding rate, and cultivar on yield loss from cheat (Bromus secalinus)",60,60
4480,1990,Journal of Theoretical Biology,H Whitehead,Rules for roving males,41,41
4481,1990,Applied Animal Behaviour Science,"SSL Tan, DM Shackleton",Effects of mixing unfamiliar individuals and of azaperone on the social behaviour of finishing pigs,76,76
4482,1990,Naturwissenschaften,J Heinze,Dominance behavior among ant females,31,31
4483,1990,Aggressive â€¦,"M Emanuela Albonetti, F DessÃ­â€Fulgheriâ€¦",Intrafemale agonistic interactions in the domestic rabbit (Oryctolagus cuniculus L.),42,42
4484,1990,Journal of the History of the Behavioral Sciences,G Mitman,"Dominance, leadership, and aggression: Animal behavior studies during the Second World War",10,10
4485,1990,Journal of Fish Biology,GS Romer,Surf zone fish community and species response to a wave energy gradient,106,106
4486,1990,"Sport, men, and the gender order: Critical feminist â€¦","D Sabo, J Panepinto",Football ritual and the social reproduction of masculinity,258,258
4487,1990,Belgian Journal of Zoology (Belgium),"S Andries, MHJ Nelissen","A study of the dominance hierarchy in four Mbuna-species: Melanochromis johanni, Melanochromis auratus, Pseudotropheus' ornatus' and â€¦",0,0
4488,1990,Crustaceana,"I Karplus, S Harpaz",Preliminary observations on behavioral interactions and distribution patterns of freshwater prawns Macrobrachium rosenbergii under semi-natural conditions â€¦,26,26
4489,1990,NA,P Messeri,Social structure of a semi-feral population of domestic cats,0,0
4490,1990,Population Biology of Passerine Birds,O Hogstad,Winter Floaters in Willow Tits Parus Montanus a Matter of Choice or Making the Best of a Bad Situation?,21,21
4491,1990,Entomologia experimentalis et â€¦,"MJ Sommeijer, JW Van Veen",The polygyny of Myrmica rubra: selective oophagy and trophallaxis as mechanisms of reproductive dominance,13,13
4492,1990,The Journal of animal ecology,JM Elliott,"Mechanisms responsible for population regulation in young migratory trout, Salmo trutta. III. The role of territorial behaviour",219,219
4493,1990,Behavioral Ecology and Sociobiology,J Ekman,Alliances in winter flocks of willow tits; effects of rank on survival and reproductive success in male-female associations,80,80
4494,1990,Social Insects,"PF RÃ¶seler, CGJ Van Honk",Castes and reproduction in bumblebees,66,66
4495,1990,NA,"DE Williams, KA Schaller",Peer Persuasion in the Classroom: A Naturalistic Study of Children's Dominance.,3,3
4496,1990,Developmental Psychology,"A Bakshi, KA Dodge, JD Coie",The emergence of social dominance in young boys' play groups: Developmental differences and behavior correlates,5,5
4497,1990,Journal of leisure Research,LA Barnett,Developmental benefits of play for children,179,179
4498,1990,Aquaculture,"JC Holm, T Refstie, S BÃ¸",The effect of fish density and feeding regimes on individual growth rate and mortality in rainbow trout (Oncorhynchus mykiss),186,186
4499,1990,Proceedings of 11th â€¦,"K Chandrashekara, R Gadagkar",Evolution of eusociality: Lessons from social organization in Ropalidia marginata (Lep.)(Hymenoptera: Vespidae),3,3
4500,1990,Behavioural brain research,"JL DÃ­az, M Asai",Dominant mice show much lower concentrations of methionine-enkephalin in brain tissue than subordinates: cause or effect?,19,19
4501,1990,Biological psychiatry,RM Sapolsky,"Adrenocortical function, social rank, and personality among wild baboons",325,325
4502,1990,Ethology Ecology & Evolution,"L Wauters, AA Dhondt, R De Vos",Factors affecting male mating success in red squirrels (Sciurus vulgaris),90,90
4503,1990,Aquaculture,"BM Baardvik, M Jobling","Effect of size-sorting on biomass gain and individual growth rates in Arctic charr, Salvelinus alpinus L.",106,106
4504,1990,Personality and the Cultural Construction of â€¦,SC Strum,"havior, but also use this equipment frequently and success is highly re-wardedâ€(1968: 471).",0,0
4505,1990,Personality and the Cultural Construction of â€¦,C SHIRLEY,A Baboon Case History,0,0
4506,1990,NA,"DACVAL NOLAN JR, ED KETTERSON","Effect of prior residence on dominance status of dark-eyed juncos, Junco hJ'emalis",0,0
4507,1990,Journal of Applied â€¦,"RO Straub, NE Grunberg, SW Streetâ€¦",Dominance: Another Facet of Type A1,3,3
4508,1990,Journal of Dairy Science,"KA Cummins, LJ Myers",Effect of olfactory masking with anise oil on aggressive behavior and milk production in cows.,5,5
4509,1990,"Horns, Pronghorns, and Antlers",L BartoÅ¡,Social status and antler development in red deer,29,29
4510,1990,NA,P Messeri,Social structure of a semi-feral population of domestic cats,0,0
4511,1990,Canadian Journal of â€¦,"NB Metcalfe, FA Huntingford, JE Thorpeâ€¦",The effects of social status on life-history variation in juvenile salmon,115,115
4512,1990,â€¦ of the Koala'.(Eds AK Lee â€¦,"G Gordon, DG McGreevyâ€¦",Koala population turnover and male social organization,31,31
4513,1990,Ethology,"KE Holekamp, L Smale","Provisioning and food sharing by lactating spotted hyenas, Crocuta crocuta (Mammalia: Hyaenidae)",81,81
4514,1990,Journal of Applied â€¦,"RO Straub, NE Grunberg, SW Streetâ€¦",Dominance: Another Facet of Type A1,3,3
4515,1990,NA,R Collins,Social Fabrics of the Mind.,0,0
4516,1990,â€¦ of the Koala'.(Eds AK Lee â€¦,"G Gordon, DG McGreevyâ€¦",Koala population turnover and male social organization,31,31
4517,1990,Ethology,"KE Holekamp, L Smale","Provisioning and food sharing by lactating spotted hyenas, Crocuta crocuta (Mammalia: Hyaenidae)",81,81
4518,1990,NA,RA Barton,"Foraging strategies, diet and competition in olive baboons",59,59
4519,1990,Canadian Journal of â€¦,"NB Metcalfe, FA Huntingford, JE Thorpeâ€¦",The effects of social status on life-history variation in juvenile salmon,115,115
4520,1990,Applied animal behaviour science,PD Warriss,The handling of cattle pre-slaughter and its effects on carcass and meat quality,369,369
4521,1990,Cooperative breeding in birds: long term â€¦,"J Faaborg, JC Bednarz",Galapagos and Harris' hawks: divergent causes of sociality in two raptors,79,79
4522,1990,Cognition,"DL Cheney, RM Seyfarth",The representation of social relations by monkeys,142,142
4523,1990,NA,ST Boysen,"Machiavellian intelligence. Social experience and the evolution of intellect in monkeys, apes, and humans",0,0
4524,1990,Animal Behaviour,GE Hill,Female house finches prefer colourful males: sexual selection for a condition-dependent trait,536,536
4525,1990,Zeitschrift fÃ¼r SÃ¤ugetierkunde,"ER Dempster, MR Perrin",Interspecific aggression in sympatric Gerbillurus species,16,16
4526,1990,Animal Behaviour,CR Thouless,Feeding competition between grazing red deer hinds,155,155
4527,1990,The Journal of animal ecology,M Tokeshi,Niche apportionment or random assortment: species abundance patterns revisited,318,318
4528,1990,AFA Watchbird,ST Emlen,Observations on a captive colony of Quaker Parakeets,9,9
4529,1990,American Journal of â€¦,"CP Doncaster, E Dumonteil, H Barreâ€¦",Temperature regulation of young coypus (Myocastor coypus) in air and water,11,11
4530,1990,Physiology & behavior,"GS Linn, HD Steklis",The effects of depo-medroxyprogesterone acetate (DMPA) on copulation-related and agonistic behaviors in an island colony of stumptail macaques (Macaca â€¦,23,23
4531,1990,Ethology,M von Siemens,Broodcare or Egg Cannibalism by Parents and Helpers in Neolamprologus brichardi (Poll 1986) (Pisces: Cichlidae): a Study on Behavioural Mechanisms,41,41
4532,1990,Strategic management journal,FR Westley,Middle managers and strategy: Microdynamics of inclusion,784,784
4533,1990,Perspectives on plant competition,PA Keddy,Competitive hierarchies and centrifugal organization in plant communities,329,329
4534,1990,Ethology,"A Troisi, F Aureli, G Schino, F Rinaldi, N de Angelis","The Influence of Age, Sex, and Rank on Yawning Behavior in Two Species of Macaques (Macaca fascicularis and M. fuscata)",48,48
